algorithm,dataset,n,wall_time_s,cpu_time_s,peak_memory_kb,status
bubble_sort,"Int: Duplicates (n=1,000,000)",1000000,,,,TIMEOUT
insertion_sort,"Int: Duplicates (n=1,000,000)",1000000,,,,TIMEOUT
merge_sort,"Int: Duplicates (n=1,000,000)",1000000,16.038795,16.010553,16782,ok
quick_sort,"Int: Duplicates (n=1,000,000)",1000000,1.930906,1.930676,0,ok
bubble_sort,"Int: Duplicates (n=100,000)",100000,,,,TIMEOUT
insertion_sort,"Int: Duplicates (n=100,000)",100000,,,,TIMEOUT
merge_sort,"Int: Duplicates (n=100,000)",100000,1.215716,1.212629,1730,ok
quick_sort,"Int: Duplicates (n=100,000)",100000,0.196274,0.196135,0,ok
bubble_sort,"Int: Duplicates (n=10,000)",10000,47.780125,47.778414,0,ok
insertion_sort,"Int: Duplicates (n=10,000)",10000,15.597225,15.595694,0,ok
merge_sort,"Int: Duplicates (n=10,000)",10000,0.082614,0.081522,169,ok
quick_sort,"Int: Duplicates (n=10,000)",10000,0.019266,0.019259,0,ok
bubble_sort,"Int: Duplicates (n=1,000)",1000,0.320278,0.320229,0,ok
insertion_sort,"Int: Duplicates (n=1,000)",1000,0.117724,0.117719,0,ok
merge_sort,"Int: Duplicates (n=1,000)",1000,0.003578,0.003579,17,ok
quick_sort,"Int: Duplicates (n=1,000)",1000,0.001573,0.001428,0,ok
bubble_sort,Int: Duplicates (n=20),20,3.3e-05,2.3e-05,0,ok
insertion_sort,Int: Duplicates (n=20),20,1.9e-05,1.5e-05,0,ok
merge_sort,Int: Duplicates (n=20),20,6.7e-05,5.6e-05,0,ok
quick_sort,Int: Duplicates (n=20),20,2e-05,1.8e-05,0,ok
bubble_sort,"Int: Nearly Sorted (n=1,000,000)",1000000,,,,TIMEOUT
insertion_sort,"Int: Nearly Sorted (n=1,000,000)",1000000,,,,TIMEOUT
merge_sort,"Int: Nearly Sorted (n=1,000,000)",1000000,16.228316,16.186257,16391,ok
quick_sort,"Int: Nearly Sorted (n=1,000,000)",1000000,20.99853,20.99626,15,ok
bubble_sort,"Int: Nearly Sorted (n=100,000)",100000,,,,TIMEOUT
insertion_sort,"Int: Nearly Sorted (n=100,000)",100000,46.030306,46.026073,0,ok
merge_sort,"Int: Nearly Sorted (n=100,000)",100000,1.222223,1.220118,1689,ok
quick_sort,"Int: Nearly Sorted (n=100,000)",100000,1.68147,1.681144,10,ok
bubble_sort,"Int: Nearly Sorted (n=10,000)",10000,28.56123,28.558741,0,ok
insertion_sort,"Int: Nearly Sorted (n=10,000)",10000,0.436316,0.436143,0,ok
merge_sort,"Int: Nearly Sorted (n=10,000)",10000,0.081246,0.080188,167,ok
quick_sort,"Int: Nearly Sorted (n=10,000)",10000,0.132785,0.132778,6,ok
bubble_sort,"Int: Nearly Sorted (n=1,000)",1000,0.179774,0.179735,0,ok
insertion_sort,"Int: Nearly Sorted (n=1,000)",1000,0.003335,0.003234,0,ok
merge_sort,"Int: Nearly Sorted (n=1,000)",1000,0.003418,0.003303,17,ok
quick_sort,"Int: Nearly Sorted (n=1,000)",1000,0.008128,0.008081,3,ok
bubble_sort,Int: Nearly Sorted (n=20),20,2.7e-05,1.9e-05,0,ok
insertion_sort,Int: Nearly Sorted (n=20),20,1.6e-05,1.2e-05,0,ok
merge_sort,Int: Nearly Sorted (n=20),20,6.5e-05,4.9e-05,0,ok
quick_sort,Int: Nearly Sorted (n=20),20,2.1e-05,1.4e-05,0,ok
bubble_sort,"Int: Random (n=1,000,000)",1000000,,,,TIMEOUT
insertion_sort,"Int: Random (n=1,000,000)",1000000,,,,TIMEOUT
merge_sort,"Int: Random (n=1,000,000)",1000000,17.304395,17.281579,16391,ok
quick_sort,"Int: Random (n=1,000,000)",1000000,17.286605,17.285206,5,ok
bubble_sort,"Int: Random (n=100,000)",100000,,,,TIMEOUT
insertion_sort,"Int: Random (n=100,000)",100000,,,,TIMEOUT
merge_sort,"Int: Random (n=100,000)",100000,1.307221,1.306373,1687,ok
quick_sort,"Int: Random (n=100,000)",100000,1.464156,1.464025,4,ok
bubble_sort,"Int: Random (n=10,000)",10000,49.252547,49.249541,0,ok
insertion_sort,"Int: Random (n=10,000)",10000,16.749004,16.74769,0,ok
merge_sort,"Int: Random (n=10,000)",10000,0.090843,0.09079,165,ok
quick_sort,"Int: Random (n=10,000)",10000,0.113363,0.113356,3,ok
bubble_sort,"Int: Random (n=1,000)",1000,0.334795,0.33473,0,ok
insertion_sort,"Int: Random (n=1,000)",1000,0.129412,0.129414,0,ok
merge_sort,"Int: Random (n=1,000)",1000,0.003745,0.003746,17,ok
quick_sort,"Int: Random (n=1,000)",1000,0.0063,0.0063,2,ok
bubble_sort,Int: Random (n=20),20,3.9e-05,2.6e-05,0,ok
insertion_sort,Int: Random (n=20),20,1.9e-05,1.5e-05,0,ok
merge_sort,Int: Random (n=20),20,6.5e-05,5.8e-05,0,ok
quick_sort,Int: Random (n=20),20,2e-05,1.6e-05,0,ok
bubble_sort,"Int: Reverse (n=1,000,000)",1000000,,,,TIMEOUT
insertion_sort,"Int: Reverse (n=1,000,000)",1000000,,,,TIMEOUT
merge_sort,"Int: Reverse (n=1,000,000)",1000000,9.65945,9.633409,19532,ok
quick_sort,"Int: Reverse (n=1,000,000)",1000000,,,,TIMEOUT
bubble_sort,"Int: Reverse (n=100,000)",100000,,,,TIMEOUT
insertion_sort,"Int: Reverse (n=100,000)",100000,,,,TIMEOUT
merge_sort,"Int: Reverse (n=100,000)",100000,0.824779,0.822148,1954,ok
quick_sort,"Int: Reverse (n=100,000)",100000,11.137441,11.12187,37,ok
bubble_sort,"Int: Reverse (n=10,000)",10000,67.132102,67.125461,0,ok
insertion_sort,"Int: Reverse (n=10,000)",10000,32.693667,32.691417,0,ok
merge_sort,"Int: Reverse (n=10,000)",10000,0.05857,0.058389,196,ok
quick_sort,"Int: Reverse (n=10,000)",10000,0.292612,0.292601,12,ok
bubble_sort,"Int: Reverse (n=1,000)",1000,0.403782,0.403758,0,ok
insertion_sort,"Int: Reverse (n=1,000)",1000,0.196357,0.196343,0,ok
merge_sort,"Int: Reverse (n=1,000)",1000,0.002929,0.002921,19,ok
quick_sort,"Int: Reverse (n=1,000)",1000,0.009111,0.009047,4,ok
bubble_sort,Int: Reverse (n=20),20,3.6e-05,2.9e-05,0,ok
insertion_sort,Int: Reverse (n=20),20,2.1e-05,1.9e-05,0,ok
merge_sort,Int: Reverse (n=20),20,6.5e-05,5.5e-05,0,ok
quick_sort,Int: Reverse (n=20),20,2.2e-05,1.9e-05,0,ok
bubble_sort,"Int: Sorted (n=1,000,000)",1000000,0.639033,0.638921,0,ok
insertion_sort,"Int: Sorted (n=1,000,000)",1000000,0.913087,0.913044,0,ok
merge_sort,"Int: Sorted (n=1,000,000)",1000000,9.585033,9.559301,19532,ok
quick_sort,"Int: Sorted (n=1,000,000)",1000000,,,,TIMEOUT
bubble_sort,"Int: Sorted (n=100,000)",100000,0.0629,0.062793,0,ok
insertion_sort,"Int: Sorted (n=100,000)",100000,0.092098,0.092085,0,ok
merge_sort,"Int: Sorted (n=100,000)",100000,0.739874,0.736882,1954,ok
quick_sort,"Int: Sorted (n=100,000)",100000,18.33231,18.319365,51,ok
bubble_sort,"Int: Sorted (n=10,000)",10000,0.00613,0.0061,0,ok
insertion_sort,"Int: Sorted (n=10,000)",10000,0.009125,0.009104,0,ok
merge_sort,"Int: Sorted (n=10,000)",10000,0.055257,0.055137,196,ok
quick_sort,"Int: Sorted (n=10,000)",10000,0.409838,0.409793,16,ok
bubble_sort,"Int: Sorted (n=1,000)",1000,0.000488,0.000488,0,ok
insertion_sort,"Int: Sorted (n=1,000)",1000,0.000719,0.000719,0,ok
merge_sort,"Int: Sorted (n=1,000)",1000,0.00283,0.002671,19,ok
quick_sort,"Int: Sorted (n=1,000)",1000,0.013233,0.013203,5,ok
bubble_sort,Int: Sorted (n=20),20,1.3e-05,1.1e-05,0,ok
insertion_sort,Int: Sorted (n=20),20,1.3e-05,1.1e-05,0,ok
merge_sort,Int: Sorted (n=20),20,6.4e-05,4.7e-05,0,ok
quick_sort,Int: Sorted (n=20),20,2.2e-05,1.8e-05,0,ok
bubble_sort,"Str: Mixed Case (n=1,000,000)",1000000,,,,TIMEOUT
insertion_sort,"Str: Mixed Case (n=1,000,000)",1000000,,,,TIMEOUT
merge_sort,"Str: Mixed Case (n=1,000,000)",1000000,18.470443,18.454231,16391,ok
quick_sort,"Str: Mixed Case (n=1,000,000)",1000000,18.162754,18.16297,5,ok
bubble_sort,"Str: Mixed Case (n=100,000)",100000,,,,TIMEOUT
insertion_sort,"Str: Mixed Case (n=100,000)",100000,,,,TIMEOUT
merge_sort,"Str: Mixed Case (n=100,000)",100000,1.373326,1.372314,1687,ok
quick_sort,"Str: Mixed Case (n=100,000)",100000,1.50417,1.504196,4,ok
bubble_sort,"Str: Mixed Case (n=10,000)",10000,50.957551,50.928145,0,ok
insertion_sort,"Str: Mixed Case (n=10,000)",10000,18.083962,18.059051,0,ok
merge_sort,"Str: Mixed Case (n=10,000)",10000,0.092294,0.092221,165,ok
quick_sort,"Str: Mixed Case (n=10,000)",10000,0.117318,0.117251,3,ok
bubble_sort,"Str: Mixed Case (n=1,000)",1000,0.342341,0.342267,0,ok
insertion_sort,"Str: Mixed Case (n=1,000)",1000,0.138537,0.138538,0,ok
merge_sort,"Str: Mixed Case (n=1,000)",1000,0.003927,0.003928,17,ok
quick_sort,"Str: Mixed Case (n=1,000)",1000,0.008853,0.008622,2,ok
bubble_sort,Str: Mixed Case (n=20),20,3.7e-05,2.6e-05,0,ok
insertion_sort,Str: Mixed Case (n=20),20,2e-05,1.7e-05,0,ok
merge_sort,Str: Mixed Case (n=20),20,6.7e-05,5e-05,0,ok
quick_sort,Str: Mixed Case (n=20),20,2.6e-05,1.7e-05,0,ok
bubble_sort,"Str: Nearly Sorted (n=1,000,000)",1000000,,,,TIMEOUT
insertion_sort,"Str: Nearly Sorted (n=1,000,000)",1000000,,,,TIMEOUT
merge_sort,"Str: Nearly Sorted (n=1,000,000)",1000000,16.886302,16.843422,16393,ok
quick_sort,"Str: Nearly Sorted (n=1,000,000)",1000000,20.204727,20.177066,17,ok
bubble_sort,"Str: Nearly Sorted (n=100,000)",100000,,,,TIMEOUT
insertion_sort,"Str: Nearly Sorted (n=100,000)",100000,44.792783,44.791589,0,ok
merge_sort,"Str: Nearly Sorted (n=100,000)",100000,1.240067,1.23816,1688,ok
quick_sort,"Str: Nearly Sorted (n=100,000)",100000,1.705482,1.70543,8,ok
bubble_sort,"Str: Nearly Sorted (n=10,000)",10000,30.794893,30.794069,0,ok
insertion_sort,"Str: Nearly Sorted (n=10,000)",10000,0.453748,0.453749,0,ok
merge_sort,"Str: Nearly Sorted (n=10,000)",10000,0.081986,0.08199,165,ok
quick_sort,"Str: Nearly Sorted (n=10,000)",10000,0.128681,0.128687,6,ok
bubble_sort,"Str: Nearly Sorted (n=1,000)",1000,0.186242,0.186247,0,ok
insertion_sort,"Str: Nearly Sorted (n=1,000)",1000,0.005074,0.005025,0,ok
merge_sort,"Str: Nearly Sorted (n=1,000)",1000,0.003437,0.003378,17,ok
quick_sort,"Str: Nearly Sorted (n=1,000)",1000,0.007653,0.007654,3,ok
bubble_sort,Str: Nearly Sorted (n=20),20,2.9e-05,2.2e-05,0,ok
insertion_sort,Str: Nearly Sorted (n=20),20,1.6e-05,1.3e-05,0,ok
merge_sort,Str: Nearly Sorted (n=20),20,7.3e-05,7.3e-05,0,ok
quick_sort,Str: Nearly Sorted (n=20),20,2.4e-05,1.9e-05,0,ok
bubble_sort,"Str: Random (n=1,000,000)",1000000,,,,TIMEOUT
insertion_sort,"Str: Random (n=1,000,000)",1000000,,,,TIMEOUT
merge_sort,"Str: Random (n=1,000,000)",1000000,17.552721,17.535549,16391,ok
quick_sort,"Str: Random (n=1,000,000)",1000000,17.914695,17.914037,5,ok
bubble_sort,"Str: Random (n=100,000)",100000,,,,TIMEOUT
insertion_sort,"Str: Random (n=100,000)",100000,,,,TIMEOUT
merge_sort,"Str: Random (n=100,000)",100000,1.317214,1.316221,1687,ok
quick_sort,"Str: Random (n=100,000)",100000,1.429929,1.425795,4,ok
bubble_sort,"Str: Random (n=10,000)",10000,49.973818,49.969425,0,ok
insertion_sort,"Str: Random (n=10,000)",10000,17.596944,17.596507,0,ok
merge_sort,"Str: Random (n=10,000)",10000,0.091248,0.090225,165,ok
quick_sort,"Str: Random (n=10,000)",10000,0.11464,0.11462,3,ok
bubble_sort,"Str: Random (n=1,000)",1000,0.326429,0.326427,0,ok
insertion_sort,"Str: Random (n=1,000)",1000,0.137395,0.137185,0,ok
merge_sort,"Str: Random (n=1,000)",1000,0.003706,0.003706,17,ok
quick_sort,"Str: Random (n=1,000)",1000,0.007466,0.007466,2,ok
bubble_sort,Str: Random (n=20),20,3.5e-05,2.1e-05,0,ok
insertion_sort,Str: Random (n=20),20,1.9e-05,1.5e-05,0,ok
merge_sort,Str: Random (n=20),20,6.6e-05,4.9e-05,0,ok
quick_sort,Str: Random (n=20),20,2.4e-05,1.7e-05,0,ok
bubble_sort,"Str: Reverse (n=1,000,000)",1000000,,,,TIMEOUT
insertion_sort,"Str: Reverse (n=1,000,000)",1000000,,,,TIMEOUT
merge_sort,"Str: Reverse (n=1,000,000)",1000000,9.773948,9.749701,19532,ok
quick_sort,"Str: Reverse (n=1,000,000)",1000000,,,,TIMEOUT
bubble_sort,"Str: Reverse (n=100,000)",100000,,,,TIMEOUT
insertion_sort,"Str: Reverse (n=100,000)",100000,,,,TIMEOUT
merge_sort,"Str: Reverse (n=100,000)",100000,0.764437,0.762567,1954,ok
quick_sort,"Str: Reverse (n=100,000)",100000,11.228387,11.218684,37,ok
bubble_sort,"Str: Reverse (n=10,000)",10000,66.133961,66.128058,0,ok
insertion_sort,"Str: Reverse (n=10,000)",10000,33.137315,33.115643,0,ok
merge_sort,"Str: Reverse (n=10,000)",10000,0.059299,0.059303,196,ok
quick_sort,"Str: Reverse (n=10,000)",10000,0.312136,0.312082,12,ok
bubble_sort,"Str: Reverse (n=1,000)",1000,0.39948,0.399469,0,ok
