algorithm,workers,dataset,n,wall_time_ns,speedup,efficiency,status
parallel_merge_sort,4,"Int: Duplicates (n=20)",20,285406,1.000000,0.250000,"ok"
parallel_merge_sort,8,"Int: Duplicates (n=20)",20,225724,1.264403,0.158050,"ok"
parallel_merge_sort,16,"Int: Duplicates (n=20)",20,318449,0.896238,0.056015,"ok"
parallel_merge_sort,4,"Int: Nearly Sorted (n=20)",20,82325,1.000000,0.250000,"ok"
parallel_merge_sort,8,"Int: Nearly Sorted (n=20)",20,185809,0.443062,0.055383,"ok"
parallel_merge_sort,16,"Int: Nearly Sorted (n=20)",20,278384,0.295725,0.018483,"ok"
parallel_merge_sort,4,"Int: Random (n=20)",20,89869,1.000000,0.250000,"ok"
parallel_merge_sort,8,"Int: Random (n=20)",20,182513,0.492398,0.061550,"ok"
parallel_merge_sort,16,"Int: Random (n=20)",20,274767,0.327073,0.020442,"ok"
parallel_merge_sort,4,"Int: Reverse (n=20)",20,84188,1.000000,0.250000,"ok"
parallel_merge_sort,8,"Int: Reverse (n=20)",20,179297,0.469545,0.058693,"ok"
parallel_merge_sort,16,"Int: Reverse (n=20)",20,267303,0.314953,0.019685,"ok"
parallel_merge_sort,4,"Int: Sorted (n=20)",20,89308,1.000000,0.250000,"ok"
parallel_merge_sort,8,"Int: Sorted (n=20)",20,174157,0.512802,0.064100,"ok"
parallel_merge_sort,16,"Int: Sorted (n=20)",20,309643,0.288422,0.018026,"ok"
parallel_merge_sort,4,"Str: Mixed Case (n=20)",20,104266,1.000000,0.250000,"ok"
parallel_merge_sort,8,"Str: Mixed Case (n=20)",20,197251,0.528596,0.066074,"ok"
parallel_merge_sort,16,"Str: Mixed Case (n=20)",20,307108,0.339509,0.021219,"ok"
parallel_merge_sort,4,"Str: Nearly Sorted (n=20)",20,81874,1.000000,0.250000,"ok"
parallel_merge_sort,8,"Str: Nearly Sorted (n=20)",20,181031,0.452265,0.056533,"ok"
parallel_merge_sort,16,"Str: Nearly Sorted (n=20)",20,283092,0.289213,0.018076,"ok"
parallel_merge_sort,4,"Str: Random (n=20)",20,96692,1.000000,0.250000,"ok"
parallel_merge_sort,8,"Str: Random (n=20)",20,196089,0.493103,0.061638,"ok"
parallel_merge_sort,16,"Str: Random (n=20)",20,373132,0.259136,0.016196,"ok"
parallel_merge_sort,4,"Str: Reverse (n=20)",20,129864,1.000000,0.250000,"ok"
parallel_merge_sort,8,"Str: Reverse (n=20)",20,243738,0.532802,0.066600,"ok"
parallel_merge_sort,16,"Str: Reverse (n=20)",20,411794,0.315362,0.019710,"ok"
parallel_merge_sort,4,"Str: Sorted (n=20)",20,118133,1.000000,0.250000,"ok"
parallel_merge_sort,8,"Str: Sorted (n=20)",20,254358,0.464436,0.058054,"ok"
parallel_merge_sort,16,"Str: Sorted (n=20)",20,415952,0.284006,0.017750,"ok"
parallel_merge_sort,4,"Tuple: Dup Scores (n=20)",20,133521,1.000000,0.250000,"ok"
parallel_merge_sort,8,"Tuple: Dup Scores (n=20)",20,304873,0.437956,0.054745,"ok"
parallel_merge_sort,16,"Tuple: Dup Scores (n=20)",20,418066,0.319378,0.019961,"ok"
parallel_merge_sort,4,"Tuple: Nearly Sorted (n=20)",20,115698,1.000000,0.250000,"ok"
parallel_merge_sort,8,"Tuple: Nearly Sorted (n=20)",20,276149,0.418969,0.052371,"ok"
parallel_merge_sort,16,"Tuple: Nearly Sorted (n=20)",20,402927,0.287144,0.017946,"ok"
parallel_merge_sort,4,"Tuple: Random (n=20)",20,193604,1.000000,0.250000,"ok"
parallel_merge_sort,8,"Tuple: Random (n=20)",20,276480,0.700246,0.087531,"ok"
parallel_merge_sort,16,"Tuple: Random (n=20)",20,394011,0.491367,0.030710,"ok"
parallel_merge_sort,4,"Tuple: Reverse (n=20)",20,135925,1.000000,0.250000,"ok"
parallel_merge_sort,8,"Tuple: Reverse (n=20)",20,202812,0.670202,0.083775,"ok"
parallel_merge_sort,16,"Tuple: Reverse (n=20)",20,277582,0.489675,0.030605,"ok"
parallel_merge_sort,4,"Tuple: Sorted (n=20)",20,97072,1.000000,0.250000,"ok"
parallel_merge_sort,8,"Tuple: Sorted (n=20)",20,195247,0.497175,0.062147,"ok"
