algorithm,dataset,n,wall_time_ns,cpu_time_ns,peak_memory_kb,status
bubble_sort,"Int: Duplicates (n=20)",20,3196,20000,,"ok"
insertion_sort,"Int: Duplicates (n=20)",20,1393,3000,,"ok"
merge_sort,"Int: Duplicates (n=20)",20,3687,5000,,"ok"
quick_sort,"Int: Duplicates (n=20)",20,2254,4000,,"ok"
bubble_sort,"Int: Nearly Sorted (n=20)",20,1703,2000,,"ok"
insertion_sort,"Int: Nearly Sorted (n=20)",20,672,2000,,"ok"
merge_sort,"Int: Nearly Sorted (n=20)",20,2484,3000,,"ok"
quick_sort,"Int: Nearly Sorted (n=20)",20,2395,3000,,"ok"
bubble_sort,"Int: Random (n=20)",20,3276,5000,,"ok"
insertion_sort,"Int: Random (n=20)",20,1403,2000,,"ok"
merge_sort,"Int: Random (n=20)",20,2735,4000,,"ok"
quick_sort,"Int: Random (n=20)",20,2535,4000,,"ok"
bubble_sort,"Int: Reverse (n=20)",20,3216,5000,,"ok"
insertion_sort,"Int: Reverse (n=20)",20,1743,3000,,"ok"
merge_sort,"Int: Reverse (n=20)",20,2154,4000,,"ok"
quick_sort,"Int: Reverse (n=20)",20,1973,3000,,"ok"
bubble_sort,"Int: Sorted (n=20)",20,240,1000,,"ok"
insertion_sort,"Int: Sorted (n=20)",20,391,2000,,"ok"
merge_sort,"Int: Sorted (n=20)",20,2054,3000,,"ok"
quick_sort,"Int: Sorted (n=20)",20,2174,3000,,"ok"
bubble_sort,"Str: Mixed Case (n=20)",20,6673,8000,,"ok"
insertion_sort,"Str: Mixed Case (n=20)",20,4558,5000,,"ok"
merge_sort,"Str: Mixed Case (n=20)",20,7063,8000,,"ok"
quick_sort,"Str: Mixed Case (n=20)",20,7093,8000,,"ok"
bubble_sort,"Str: Nearly Sorted (n=20)",20,3517,5000,,"ok"
insertion_sort,"Str: Nearly Sorted (n=20)",20,2234,3000,,"ok"
merge_sort,"Str: Nearly Sorted (n=20)",20,6211,7000,,"ok"
quick_sort,"Str: Nearly Sorted (n=20)",20,4799,6000,,"ok"
bubble_sort,"Str: Random (n=20)",20,6392,8000,,"ok"
insertion_sort,"Str: Random (n=20)",20,4900,6000,,"ok"
merge_sort,"Str: Random (n=20)",20,6623,8000,,"ok"
quick_sort,"Str: Random (n=20)",20,5551,7000,,"ok"
bubble_sort,"Str: Reverse (n=20)",20,6683,7000,,"ok"
insertion_sort,"Str: Reverse (n=20)",20,7434,9000,,"ok"
merge_sort,"Str: Reverse (n=20)",20,5761,7000,,"ok"
quick_sort,"Str: Reverse (n=20)",20,4919,6000,,"ok"
bubble_sort,"Str: Sorted (n=20)",20,651,2000,,"ok"
insertion_sort,"Str: Sorted (n=20)",20,2014,3000,,"ok"
merge_sort,"Str: Sorted (n=20)",20,7734,9000,,"ok"
quick_sort,"Str: Sorted (n=20)",20,7374,9000,,"ok"
bubble_sort,"Tuple: Dup Scores (n=20)",20,21531,22000,,"ok"
insertion_sort,"Tuple: Dup Scores (n=20)",20,9948,11000,,"ok"
merge_sort,"Tuple: Dup Scores (n=20)",20,11662,12000,,"ok"
quick_sort,"Tuple: Dup Scores (n=20)",20,19427,20000,,"ok"
bubble_sort,"Tuple: Nearly Sorted (n=20)",20,14277,16000,,"ok"
insertion_sort,"Tuple: Nearly Sorted (n=20)",20,3467,4000,,"ok"
merge_sort,"Tuple: Nearly Sorted (n=20)",20,6332,7000,,"ok"
quick_sort,"Tuple: Nearly Sorted (n=20)",20,10169,11000,,"ok"
bubble_sort,"Tuple: Random (n=20)",20,12113,13000,,"ok"
insertion_sort,"Tuple: Random (n=20)",20,7053,8000,,"ok"
merge_sort,"Tuple: Random (n=20)",20,6783,7000,,"ok"
quick_sort,"Tuple: Random (n=20)",20,10761,11000,,"ok"
bubble_sort,"Tuple: Reverse (n=20)",20,13175,14000,,"ok"
insertion_sort,"Tuple: Reverse (n=20)",20,9758,10000,,"ok"
merge_sort,"Tuple: Reverse (n=20)",20,5411,6000,,"ok"
quick_sort,"Tuple: Reverse (n=20)",20,10069,11000,,"ok"
bubble_sort,"Tuple: Sorted (n=20)",20,1011,1000,,"ok"
insertion_sort,"Tuple: Sorted (n=20)",20,1542,2000,,"ok"
merge_sort,"Tuple: Sorted (n=20)",20,5581,6000,,"ok"
quick_sort,"Tuple: Sorted (n=20)",20,10139,11000,,"ok"
