algorithm,workers,dataset,n,wall_time_ns,speedup,efficiency,status
parallel_merge_sort,4,"Int: Duplicates (n=1,000,000)",1000000,738296188,1.0,0.25,ok
parallel_merge_sort,8,"Int: Duplicates (n=1,000,000)",1000000,617843492,1.195,0.149,ok
parallel_merge_sort,16,"Int: Duplicates (n=1,000,000)",1000000,657195633,1.123,0.07,ok
parallel_merge_sort,4,"Int: Duplicates (n=100,000)",100000,109383404,1.0,0.25,ok
parallel_merge_sort,8,"Int: Duplicates (n=100,000)",100000,120831672,0.905,0.113,ok
parallel_merge_sort,16,"Int: Duplicates (n=100,000)",100000,146894349,0.745,0.047,ok
parallel_merge_sort,4,"Int: Duplicates (n=10,000)",10000,57449943,1.0,0.25,ok
parallel_merge_sort,8,"Int: Duplicates (n=10,000)",10000,62979187,0.912,0.114,ok
parallel_merge_sort,16,"Int: Duplicates (n=10,000)",10000,83709266,0.686,0.043,ok
parallel_merge_sort,4,"Int: Duplicates (n=1,000)",1000,1032704,1.0,0.25,ok
parallel_merge_sort,8,"Int: Duplicates (n=1,000)",1000,1029898,1.003,0.125,ok
parallel_merge_sort,16,"Int: Duplicates (n=1,000)",1000,1037182,0.996,0.062,ok
parallel_merge_sort,4,Int: Duplicates (n=20),20,23013,1.0,0.25,ok
parallel_merge_sort,8,Int: Duplicates (n=20),20,26610,0.865,0.108,ok
parallel_merge_sort,16,Int: Duplicates (n=20),20,23173,0.993,0.062,ok
parallel_merge_sort,4,"Int: Nearly Sorted (n=1,000,000)",1000000,783112775,1.0,0.25,ok
parallel_merge_sort,8,"Int: Nearly Sorted (n=1,000,000)",1000000,685931470,1.142,0.143,ok
parallel_merge_sort,16,"Int: Nearly Sorted (n=1,000,000)",1000000,644891044,1.214,0.076,ok
parallel_merge_sort,4,"Int: Nearly Sorted (n=100,000)",100000,113111204,1.0,0.25,ok
parallel_merge_sort,8,"Int: Nearly Sorted (n=100,000)",100000,114317132,0.989,0.124,ok
parallel_merge_sort,16,"Int: Nearly Sorted (n=100,000)",100000,152626901,0.741,0.046,ok
parallel_merge_sort,4,"Int: Nearly Sorted (n=10,000)",10000,53026909,1.0,0.25,ok
parallel_merge_sort,8,"Int: Nearly Sorted (n=10,000)",10000,59707309,0.888,0.111,ok
parallel_merge_sort,16,"Int: Nearly Sorted (n=10,000)",10000,86159434,0.615,0.038,ok
parallel_merge_sort,4,"Int: Nearly Sorted (n=1,000)",1000,871893,1.0,0.25,ok
parallel_merge_sort,8,"Int: Nearly Sorted (n=1,000)",1000,1442261,0.605,0.076,ok
parallel_merge_sort,16,"Int: Nearly Sorted (n=1,000)",1000,876782,0.994,0.062,ok
parallel_merge_sort,4,Int: Nearly Sorted (n=20),20,21570,1.0,0.25,ok
parallel_merge_sort,8,Int: Nearly Sorted (n=20),20,22623,0.953,0.119,ok
parallel_merge_sort,16,Int: Nearly Sorted (n=20),20,21510,1.003,0.063,ok
parallel_merge_sort,4,"Int: Random (n=1,000,000)",1000000,973274896,1.0,0.25,ok
parallel_merge_sort,8,"Int: Random (n=1,000,000)",1000000,736100468,1.322,0.165,ok
parallel_merge_sort,16,"Int: Random (n=1,000,000)",1000000,692836290,1.405,0.088,ok
parallel_merge_sort,4,"Int: Random (n=100,000)",100000,131768410,1.0,0.25,ok
parallel_merge_sort,8,"Int: Random (n=100,000)",100000,126901056,1.038,0.13,ok
parallel_merge_sort,16,"Int: Random (n=100,000)",100000,137566788,0.958,0.06,ok
parallel_merge_sort,4,"Int: Random (n=10,000)",10000,54549720,1.0,0.25,ok
parallel_merge_sort,8,"Int: Random (n=10,000)",10000,55125348,0.99,0.124,ok
parallel_merge_sort,16,"Int: Random (n=10,000)",10000,82049866,0.665,0.042,ok
parallel_merge_sort,4,"Int: Random (n=1,000)",1000,1074222,1.0,0.25,ok
parallel_merge_sort,8,"Int: Random (n=1,000)",1000,1089079,0.986,0.123,ok
parallel_merge_sort,16,"Int: Random (n=1,000)",1000,1196791,0.898,0.056,ok
parallel_merge_sort,4,Int: Random (n=20),20,31880,1.0,0.25,ok
parallel_merge_sort,8,Int: Random (n=20),20,22923,1.391,0.174,ok
parallel_merge_sort,16,Int: Random (n=20),20,23023,1.385,0.087,ok
parallel_merge_sort,4,"Int: Reverse (n=1,000,000)",1000000,640363495,1.0,0.25,ok
parallel_merge_sort,8,"Int: Reverse (n=1,000,000)",1000000,551356229,1.161,0.145,ok
parallel_merge_sort,16,"Int: Reverse (n=1,000,000)",1000000,564269900,1.135,0.071,ok
parallel_merge_sort,4,"Int: Reverse (n=100,000)",100000,102952158,1.0,0.25,ok
parallel_merge_sort,8,"Int: Reverse (n=100,000)",100000,101968044,1.01,0.126,ok
parallel_merge_sort,16,"Int: Reverse (n=100,000)",100000,136178948,0.756,0.047,ok
parallel_merge_sort,4,"Int: Reverse (n=10,000)",10000,54183494,1.0,0.25,ok
parallel_merge_sort,8,"Int: Reverse (n=10,000)",10000,60698464,0.893,0.112,ok
parallel_merge_sort,16,"Int: Reverse (n=10,000)",10000,82182194,0.659,0.041,ok
parallel_merge_sort,4,"Int: Reverse (n=1,000)",1000,802422,1.0,0.25,ok
parallel_merge_sort,8,"Int: Reverse (n=1,000)",1000,755084,1.063,0.133,ok
parallel_merge_sort,16,"Int: Reverse (n=1,000)",1000,758891,1.057,0.066,ok
parallel_merge_sort,4,Int: Reverse (n=20),20,27431,1.0,0.25,ok
