algorithm,dataset,n,wall_time_ns,cpu_time_ns,peak_memory_kb,status
bubble_sort,"Int: Duplicates (n=1,000,000)",1000000,,,,TIMEOUT
insertion_sort,"Int: Duplicates (n=1,000,000)",1000000,,,,TIMEOUT
merge_sort,"Int: Duplicates (n=1,000,000)",1000000,17794691542,15387335733,16782,ok
quick_sort,"Int: Duplicates (n=1,000,000)",1000000,1910711073,1910700098,0,ok
bubble_sort,"Int: Duplicates (n=100,000)",100000,,,,TIMEOUT
insertion_sort,"Int: Duplicates (n=100,000)",100000,,,,TIMEOUT
merge_sort,"Int: Duplicates (n=100,000)",100000,1157572218,1157538679,1730,ok
quick_sort,"Int: Duplicates (n=100,000)",100000,188967782,188941631,0,ok
bubble_sort,"Int: Duplicates (n=10,000)",10000,44857170908,44856025002,0,ok
insertion_sort,"Int: Duplicates (n=10,000)",10000,15105934763,15105744487,0,ok
merge_sort,"Int: Duplicates (n=10,000)",10000,80041096,80021521,169,ok
quick_sort,"Int: Duplicates (n=10,000)",10000,19538321,19537352,0,ok
bubble_sort,"Int: Duplicates (n=1,000)",1000,304410843,304395179,0,ok
insertion_sort,"Int: Duplicates (n=1,000)",1000,114462632,114464227,0,ok
merge_sort,"Int: Duplicates (n=1,000)",1000,3435871,3427916,17,ok
quick_sort,"Int: Duplicates (n=1,000)",1000,1556513,1554253,0,ok
bubble_sort,Int: Duplicates (n=20),20,31178,28063,0,ok
insertion_sort,Int: Duplicates (n=20),20,16161,12904,0,ok
merge_sort,Int: Duplicates (n=20),20,61405,59051,0,ok
quick_sort,Int: Duplicates (n=20),20,17974,16220,0,ok
bubble_sort,"Int: Nearly Sorted (n=1,000,000)",1000000,,,,TIMEOUT
insertion_sort,"Int: Nearly Sorted (n=1,000,000)",1000000,,,,TIMEOUT
merge_sort,"Int: Nearly Sorted (n=1,000,000)",1000000,15353797981,15353436551,16391,ok
quick_sort,"Int: Nearly Sorted (n=1,000,000)",1000000,20549588093,20549001515,15,ok
bubble_sort,"Int: Nearly Sorted (n=100,000)",100000,,,,TIMEOUT
insertion_sort,"Int: Nearly Sorted (n=100,000)",100000,44128330176,44127507200,0,ok
merge_sort,"Int: Nearly Sorted (n=100,000)",100000,1141088146,1141013690,1689,ok
quick_sort,"Int: Nearly Sorted (n=100,000)",100000,1616285514,1616202725,11,ok
bubble_sort,"Int: Nearly Sorted (n=10,000)",10000,26819359966,26818772461,0,ok
insertion_sort,"Int: Nearly Sorted (n=10,000)",10000,429677640,429657612,0,ok
merge_sort,"Int: Nearly Sorted (n=10,000)",10000,76118760,76113002,167,ok
quick_sort,"Int: Nearly Sorted (n=10,000)",10000,130856582,130834302,6,ok
bubble_sort,"Int: Nearly Sorted (n=1,000)",1000,170741869,170727859,0,ok
insertion_sort,"Int: Nearly Sorted (n=1,000)",1000,3176809,3174971,0,ok
merge_sort,"Int: Nearly Sorted (n=1,000)",1000,3232443,3230716,17,ok
quick_sort,"Int: Nearly Sorted (n=1,000)",1000,7850284,7849602,3,ok
bubble_sort,Int: Nearly Sorted (n=20),20,25597,22933,0,ok
insertion_sort,Int: Nearly Sorted (n=20),20,12243,11111,0,ok
merge_sort,Int: Nearly Sorted (n=20),20,75261,73448,0,ok
quick_sort,Int: Nearly Sorted (n=20),20,18916,17884,0,ok
bubble_sort,"Int: Random (n=1,000,000)",1000000,,,,TIMEOUT
insertion_sort,"Int: Random (n=1,000,000)",1000000,,,,TIMEOUT
merge_sort,"Int: Random (n=1,000,000)",1000000,16160220700,16159761048,16391,ok
quick_sort,"Int: Random (n=1,000,000)",1000000,16974512379,16974191349,5,ok
bubble_sort,"Int: Random (n=100,000)",100000,,,,TIMEOUT
insertion_sort,"Int: Random (n=100,000)",100000,,,,TIMEOUT
merge_sort,"Int: Random (n=100,000)",100000,1200213603,1200191735,1687,ok
quick_sort,"Int: Random (n=100,000)",100000,1385400065,1385382532,4,ok
bubble_sort,"Int: Random (n=10,000)",10000,46937242823,46935581559,0,ok
insertion_sort,"Int: Random (n=10,000)",10000,16509731778,16509405670,0,ok
merge_sort,"Int: Random (n=10,000)",10000,84192861,84183999,165,ok
quick_sort,"Int: Random (n=10,000)",10000,113389326,113392741,3,ok
bubble_sort,"Int: Random (n=1,000)",1000,315634907,315538467,0,ok
insertion_sort,"Int: Random (n=1,000)",1000,126402839,126394904,0,ok
merge_sort,"Int: Random (n=1,000)",1000,3493046,3491266,17,ok
quick_sort,"Int: Random (n=1,000)",1000,6096700,6085836,2,ok
bubble_sort,Int: Random (n=20),20,31118,28954,0,ok
insertion_sort,Int: Random (n=20),20,15699,14106,0,ok
merge_sort,Int: Random (n=20),20,61756,59552,0,ok
quick_sort,Int: Random (n=20),20,20358,18796,0,ok
bubble_sort,"Int: Reverse (n=1,000,000)",1000000,,,,TIMEOUT
insertion_sort,"Int: Reverse (n=1,000,000)",1000000,,,,TIMEOUT
merge_sort,"Int: Reverse (n=1,000,000)",1000000,10030446598,10027576421,19532,ok
quick_sort,"Int: Reverse (n=1,000,000)",1000000,,,,TIMEOUT
bubble_sort,"Int: Reverse (n=100,000)",100000,,,,TIMEOUT
insertion_sort,"Int: Reverse (n=100,000)",100000,,,,TIMEOUT
merge_sort,"Int: Reverse (n=100,000)",100000,733421815,732708499,1954,ok
quick_sort,"Int: Reverse (n=100,000)",100000,11610268911,11590268401,37,ok
bubble_sort,"Int: Reverse (n=10,000)",10000,76861071575,77145443767,0,ok
insertion_sort,"Int: Reverse (n=10,000)",10000,33522988297,33521479916,0,ok
merge_sort,"Int: Reverse (n=10,000)",10000,55993351,55989486,196,ok
quick_sort,"Int: Reverse (n=10,000)",10000,295501541,295120885,12,ok
bubble_sort,"Int: Reverse (n=1,000)",1000,391995626,391559014,0,ok
insertion_sort,"Int: Reverse (n=1,000)",1000,195439298,195218508,0,ok
merge_sort,"Int: Reverse (n=1,000)",1000,2847850,2845451,19,ok
quick_sort,"Int: Reverse (n=1,000)",1000,10827505,10818987,4,ok
bubble_sort,Int: Reverse (n=20),20,35399,33022,0,ok
insertion_sort,Int: Reverse (n=20),20,19959,17633,0,ok
merge_sort,Int: Reverse (n=20),20,60849,58880,0,ok
quick_sort,Int: Reverse (n=20),20,28285,25989,0,ok
bubble_sort,"Int: Sorted (n=1,000,000)",1000000,645812109,645444660,0,ok
insertion_sort,"Int: Sorted (n=1,000,000)",1000000,919044074,918675653,0,ok
merge_sort,"Int: Sorted (n=1,000,000)",1000000,9212579286,9204420229,19532,ok
quick_sort,"Int: Sorted (n=1,000,000)",1000000,,,,TIMEOUT
bubble_sort,"Int: Sorted (n=100,000)",100000,63295467,63293483,0,ok
insertion_sort,"Int: Sorted (n=100,000)",100000,91018185,90902445,0,ok
merge_sort,"Int: Sorted (n=100,000)",100000,715454986,714664731,1954,ok
quick_sort,"Int: Sorted (n=100,000)",100000,18828956778,18817137586,51,ok
bubble_sort,"Int: Sorted (n=10,000)",10000,6146328,6148023,0,ok
insertion_sort,"Int: Sorted (n=10,000)",10000,9526826,9529161,0,ok
merge_sort,"Int: Sorted (n=10,000)",10000,53554871,53566830,196,ok
quick_sort,"Int: Sorted (n=10,000)",10000,410643899,410216329,16,ok
bubble_sort,"Int: Sorted (n=1,000)",1000,485321,483129,0,ok
insertion_sort,"Int: Sorted (n=1,000)",1000,692968,690308,0,ok
merge_sort,"Int: Sorted (n=1,000)",1000,2800950,2799996,19,ok
quick_sort,"Int: Sorted (n=1,000)",1000,13277541,13274194,5,ok
bubble_sort,Int: Sorted (n=20),20,12391,9858,0,ok
insertion_sort,Int: Sorted (n=20),20,11158,8897,0,ok
merge_sort,Int: Sorted (n=20),20,62565,60413,0,ok
quick_sort,Int: Sorted (n=20),20,26434,24597,0,ok
bubble_sort,"Str: Mixed Case (n=1,000,000)",1000000,,,,TIMEOUT
insertion_sort,"Str: Mixed Case (n=1,000,000)",1000000,,,,TIMEOUT
merge_sort,"Str: Mixed Case (n=1,000,000)",1000000,17573844683,17561700564,16391,ok
quick_sort,"Str: Mixed Case (n=1,000,000)",1000000,17655685197,17651409190,5,ok
bubble_sort,"Str: Mixed Case (n=100,000)",100000,,,,TIMEOUT
insertion_sort,"Str: Mixed Case (n=100,000)",100000,,,,TIMEOUT
merge_sort,"Str: Mixed Case (n=100,000)",100000,1480998436,1479589282,1687,ok
quick_sort,"Str: Mixed Case (n=100,000)",100000,1542240653,1540872485,4,ok
bubble_sort,"Str: Mixed Case (n=10,000)",10000,49900117118,49879672340,0,ok
insertion_sort,"Str: Mixed Case (n=10,000)",10000,19462155087,19451706072,0,ok
merge_sort,"Str: Mixed Case (n=10,000)",10000,95796149,95675412,165,ok
quick_sort,"Str: Mixed Case (n=10,000)",10000,117007292,117018380,3,ok
bubble_sort,"Str: Mixed Case (n=1,000)",1000,345957278,345982019,0,ok
insertion_sort,"Str: Mixed Case (n=1,000)",1000,147233423,147246739,0,ok
merge_sort,"Str: Mixed Case (n=1,000)",1000,3827233,3825925,17,ok
quick_sort,"Str: Mixed Case (n=1,000)",1000,6558653,6557783,2,ok
bubble_sort,Str: Mixed Case (n=20),20,34241,32481,0,ok
insertion_sort,Str: Mixed Case (n=20),20,16600,14727,0,ok
merge_sort,Str: Mixed Case (n=20),20,76106,74510,0,ok
quick_sort,Str: Mixed Case (n=20),20,24483,22602,0,ok
bubble_sort,"Str: Nearly Sorted (n=1,000,000)",1000000,,,,TIMEOUT
insertion_sort,"Str: Nearly Sorted (n=1,000,000)",1000000,,,,TIMEOUT
merge_sort,"Str: Nearly Sorted (n=1,000,000)",1000000,18782569595,18770101066,16393,ok
quick_sort,"Str: Nearly Sorted (n=1,000,000)",1000000,20514158182,20501611437,17,ok
bubble_sort,"Str: Nearly Sorted (n=100,000)",100000,,,,TIMEOUT
insertion_sort,"Str: Nearly Sorted (n=100,000)",100000,51424599041,51335332681,0,ok
merge_sort,"Str: Nearly Sorted (n=100,000)",100000,1393973778,1393256316,1688,ok
quick_sort,"Str: Nearly Sorted (n=100,000)",100000,1727013621,1724555481,8,ok
bubble_sort,"Str: Nearly Sorted (n=10,000)",10000,30741085648,30717946851,0,ok
insertion_sort,"Str: Nearly Sorted (n=10,000)",10000,529642015,529603824,0,ok
merge_sort,"Str: Nearly Sorted (n=10,000)",10000,94453445,94341370,165,ok
quick_sort,"Str: Nearly Sorted (n=10,000)",10000,131031434,130952145,6,ok
bubble_sort,"Str: Nearly Sorted (n=1,000)",1000,190056822,189808824,0,ok
insertion_sort,"Str: Nearly Sorted (n=1,000)",1000,5521119,5520192,0,ok
merge_sort,"Str: Nearly Sorted (n=1,000)",1000,3814652,3813602,18,ok
quick_sort,"Str: Nearly Sorted (n=1,000)",1000,8124966,8084694,3,ok
bubble_sort,Str: Nearly Sorted (n=20),20,28072,26249,0,ok
insertion_sort,Str: Nearly Sorted (n=20),20,15830,13095,0,ok
merge_sort,Str: Nearly Sorted (n=20),20,69219,67026,0,ok
quick_sort,Str: Nearly Sorted (n=20),20,23303,21110,0,ok
bubble_sort,"Str: Random (n=1,000,000)",1000000,,,,TIMEOUT
insertion_sort,"Str: Random (n=1,000,000)",1000000,,,,TIMEOUT
merge_sort,"Str: Random (n=1,000,000)",1000000,19972464938,19961516245,16391,ok
quick_sort,"Str: Random (n=1,000,000)",1000000,18877579756,18866725264,5,ok
bubble_sort,"Str: Random (n=100,000)",100000,,,,TIMEOUT
insertion_sort,"Str: Random (n=100,000)",100000,,,,TIMEOUT
merge_sort,"Str: Random (n=100,000)",100000,1478539668,1476429178,1687,ok
quick_sort,"Str: Random (n=100,000)",100000,1483646834,1483262270,4,ok
bubble_sort,"Str: Random (n=10,000)",10000,49589821965,49547293369,0,ok
insertion_sort,"Str: Random (n=10,000)",10000,19507846428,19491785909,0,ok
merge_sort,"Str: Random (n=10,000)",10000,99427209,99304637,165,ok
quick_sort,"Str: Random (n=10,000)",10000,114243914,114175003,3,ok
bubble_sort,"Str: Random (n=1,000)",1000,336738924,336653989,0,ok
insertion_sort,"Str: Random (n=1,000)",1000,153687171,153515297,0,ok
merge_sort,"Str: Random (n=1,000)",1000,3968298,3967832,17,ok
quick_sort,"Str: Random (n=1,000)",1000,6632829,6632143,2,ok
bubble_sort,Str: Random (n=20),20,35284,33343,0,ok
insertion_sort,Str: Random (n=20),20,19104,16371,0,ok
merge_sort,Str: Random (n=20),20,71280,69130,0,ok
quick_sort,Str: Random (n=20),20,22872,21089,0,ok
bubble_sort,"Str: Reverse (n=1,000,000)",1000000,,,,TIMEOUT
insertion_sort,"Str: Reverse (n=1,000,000)",1000000,,,,TIMEOUT
merge_sort,"Str: Reverse (n=1,000,000)",1000000,10841846424,10832202353,19532,ok
quick_sort,"Str: Reverse (n=1,000,000)",1000000,,,,TIMEOUT
bubble_sort,"Str: Reverse (n=100,000)",100000,,,,TIMEOUT
insertion_sort,"Str: Reverse (n=100,000)",100000,,,,TIMEOUT
merge_sort,"Str: Reverse (n=100,000)",100000,878681838,877992330,1954,ok
quick_sort,"Str: Reverse (n=100,000)",100000,11899374877,11891219287,37,ok
bubble_sort,"Str: Reverse (n=10,000)",10000,67916868789,67879212987,0,ok
insertion_sort,"Str: Reverse (n=10,000)",10000,37118119089,37091024618,0,ok
merge_sort,"Str: Reverse (n=10,000)",10000,61103420,61045405,196,ok
quick_sort,"Str: Reverse (n=10,000)",10000,315691381,315280081,12,ok
bubble_sort,"Str: Reverse (n=1,000)",1000,402664389,401859465,0,ok
insertion_sort,"Str: Reverse (n=1,000)",1000,224593524,224204439,0,ok
merge_sort,"Str: Reverse (n=1,000)",1000,3055703,3053542,19,ok
quick_sort,"Str: Reverse (n=1,000)",1000,9313604,9310600,4,ok
bubble_sort,Str: Reverse (n=20),20,39034,36990,0,ok
insertion_sort,Str: Reverse (n=20),20,23841,21981,0,ok
merge_sort,Str: Reverse (n=20),20,64499,62367,0,ok
quick_sort,Str: Reverse (n=20),20,23621,21621,0,ok
bubble_sort,"Str: Sorted (n=1,000,000)",1000000,628738504,627673364,0,ok
insertion_sort,"Str: Sorted (n=1,000,000)",1000000,943227494,942048779,0,ok
merge_sort,"Str: Sorted (n=1,000,000)",1000000,10802445012,10794257694,19532,ok
